date,forecast_revenue
2025-01-01,199234.88
2025-01-02,211626.84
2025-01-03,216015.27
2025-01-04,245585.21
2025-01-05,230186.5
2025-01-06,177335.5
2025-01-07,179083.18
2025-01-08,199234.88
2025-01-09,211626.84
2025-01-10,216015.27
2025-01-11,245585.21
2025-01-12,230186.5
2025-01-13,177335.5
2025-01-14,179083.18
2025-01-15,199234.88
2025-01-16,211626.84
2025-01-17,216015.27
2025-01-18,245585.21
2025-01-19,230186.5
2025-01-20,177335.5
2025-01-21,179083.18
2025-01-22,199234.88
2025-01-23,211626.84
2025-01-24,216015.27
2025-01-25,245585.21
2025-01-26,230186.5
2025-01-27,177335.5
2025-01-28,179083.18
2025-01-29,199234.88
2025-01-30,211626.84
